1000	0.0205139
2000	0.0398913
3000	0.058719
4000	0.0773094
5000	0.0956697
6000	0.113753
7000	0.13168
8000	0.14934
9000	0.166798
10000	0.183896
11000	0.200477
12000	0.217027
13000	0.233549
14000	0.250079
15000	0.266623
16000	0.283167
17000	0.299727
18000	0.316242
19000	0.332729
20000	0.349201
21000	0.36565
22000	0.382066
23000	0.398492
24000	0.414964
25000	0.431422
26000	0.447891
27000	0.464364
28000	0.480787
29000	0.497201
30000	0.513614
31000	0.53003
32000	0.546453
33000	0.562842
34000	0.579204
35000	0.59557
36000	0.611907
37000	0.62827
38000	0.644657
39000	0.661066
40000	0.677455
41000	0.693838
42000	0.710199
43000	0.726556
44000	0.742916
45000	0.759291
46000	0.775668
47000	0.79203
48000	0.808381
49000	0.824755
50000	0.841116
