1000	0.067747
2000	0.0869984
3000	0.105864
4000	0.124607
5000	0.143358
6000	0.162124
7000	0.180888
8000	0.19968
9000	0.218444
10000	0.237192
11000	0.255909
12000	0.274657
13000	0.293416
14000	0.312223
15000	0.330985
16000	0.349763
17000	0.368527
18000	0.387286
19000	0.406027
20000	0.424783
21000	0.443548
22000	0.462304
23000	0.481045
24000	0.499783
25000	0.51855
26000	0.537299
27000	0.556045
28000	0.57482
29000	0.593573
30000	0.612308
31000	0.631063
32000	0.649826
33000	0.668575
34000	0.687314
35000	0.706079
36000	0.724823
37000	0.743611
38000	0.762375
39000	0.781168
40000	0.799949
41000	0.818689
42000	0.837449
43000	0.856223
44000	0.874983
45000	0.893706
46000	0.912429
47000	0.931156
48000	0.949871
49000	0.968589
50000	0.987324
