1000	0.00686221
2000	0.0135195
3000	0.0197446
4000	0.0257424
5000	0.0316179
6000	0.0373871
7000	0.0430967
8000	0.048758
9000	0.05437
10000	0.0599601
11000	0.0655428
12000	0.0711049
13000	0.0766687
14000	0.0822037
15000	0.0877281
16000	0.0932414
17000	0.0987505
18000	0.104251
19000	0.109746
20000	0.115239
21000	0.120717
22000	0.126193
23000	0.131665
24000	0.137136
25000	0.142606
26000	0.148072
27000	0.153525
28000	0.158975
29000	0.164427
30000	0.169871
31000	0.175315
32000	0.180763
33000	0.186196
34000	0.191634
35000	0.197064
36000	0.202509
37000	0.207951
38000	0.213411
39000	0.218856
40000	0.224304
41000	0.229736
42000	0.235178
43000	0.240605
44000	0.246028
45000	0.25145
46000	0.25688
47000	0.262296
48000	0.267722
49000	0.273144
50000	0.278554
