1000	0.0433703
2000	0.0548657
3000	0.0663804
4000	0.0779885
5000	0.0896202
6000	0.101251
7000	0.112859
8000	0.124446
9000	0.136082
10000	0.147808
11000	0.159466
12000	0.171195
13000	0.182783
14000	0.194426
15000	0.206077
16000	0.21777
17000	0.229408
18000	0.2411
19000	0.252739
20000	0.264412
21000	0.276074
22000	0.287757
23000	0.299346
24000	0.310979
25000	0.322608
26000	0.334274
27000	0.345976
28000	0.357614
29000	0.369237
30000	0.380909
31000	0.392559
32000	0.40419
33000	0.415974
34000	0.427599
35000	0.439236
36000	0.450915
37000	0.46263
38000	0.474304
39000	0.485904
40000	0.497633
41000	0.509367
42000	0.521006
43000	0.532671
44000	0.544403
45000	0.55614
46000	0.56775
47000	0.579413
48000	0.591094
49000	0.602735
50000	0.614433
