1000	0.0111601
2000	0.0217966
3000	0.0322561
4000	0.042705
5000	0.0530466
6000	0.0631973
7000	0.0730066
8000	0.0827812
9000	0.0925373
10000	0.102289
11000	0.11203
12000	0.121755
13000	0.131477
14000	0.141198
15000	0.150923
16000	0.160639
17000	0.170366
18000	0.18009
19000	0.189815
20000	0.199538
21000	0.209247
22000	0.218955
23000	0.228663
24000	0.23836
25000	0.248067
26000	0.257786
27000	0.267495
28000	0.277196
29000	0.286902
30000	0.296604
31000	0.306292
32000	0.315986
33000	0.325676
34000	0.33537
35000	0.345042
36000	0.354725
37000	0.36442
38000	0.3741
39000	0.38377
40000	0.393457
41000	0.403134
42000	0.412819
43000	0.422513
44000	0.432195
45000	0.441868
46000	0.451552
47000	0.461229
48000	0.470912
49000	0.4806
50000	0.490282
